Symbol,Company,Headquarter,Year First Added
COST,Consumer Staples,"Issaquah, Washington",1993
CTRA,Energy,"Houston, Texas",2008
CRWD,Information Technology,"Austin, Texas",2024
CCI,Real Estate,"Houston, Texas",2012
CSX,Industrials,"Jacksonville, Florida",1957
CMI,Industrials,"Columbus, Indiana",1965
CVS,Health Care,"Woonsocket, Rhode Island",1957
DHR,Health Care,"Washington, D.C.",1998
DRI,Consumer Discretionary,"Orlando, Florida",1995
DVA,Health Care,"Denver, Colorado",2008
DAY,Industrials,"Minneapolis, Minnesota",2021
DECK,Consumer Discretionary,"Goleta, California",2024
DE,Industrials,"Moline, Illinois",1957
DAL,Industrials,"Atlanta, Georgia",2013
DVN,Energy,"Oklahoma City, Oklahoma",2000
DXCM,Health Care,"San Diego, California",2020
FANG,Energy,"Midland, Texas",2018
DLR,Real Estate,"Austin, Texas",2016
DFS,Financials,"Riverwoods, Illinois",2007
DG,Consumer Staples,"Goodlettsville, Tennessee",2012
DLTR,Consumer Staples,"Chesapeake, Virginia",2011
D,Utilities,"Richmond, Virginia",2016
DPZ,Consumer Discretionary,"Ann Arbor, Michigan",2020
DOV,Industrials,"Downers Grove, Illinois",1985
DOW,Materials,"Midland, Michigan",2019
DHI,Consumer Discretionary,"Arlington, Texas",2005
DTE,Utilities,"Detroit, Michigan",1957
DUK,Utilities,"Charlotte, North Carolina",1976
DD,Materials,"Wilmington, Delaware",2019
EMN,Materials,"Kingsport, Tennessee",1994
ETN,Industrials,"Dublin, Ireland",1957
EBAY,Consumer Discretionary,"San Jose, California",2002
ECL,Materials,"Saint Paul, Minnesota",1989
EIX,Utilities,"Rosemead, California",1957
EW,Health Care,"Irvine, California",2011
EA,Communication Services,"Redwood City, California",2002
ELV,Health Care,"Indianapolis, Indiana",2002
EMR,Industrials,"Ferguson, Missouri",1965
ENPH,Information Technology,"Fremont, California",2021
ETR,Utilities,"New Orleans, Louisiana",1957
EOG,Energy,"Houston, Texas",2000
EPAM,Information Technology,"Newtown, Pennsylvania",2021
EQT,Energy,"Pittsburgh, Pennsylvania",2022
EFX,Industrials,"Atlanta, Georgia",1997
EQIX,Real Estate,"Redwood City, California",2015
EQR,Real Estate,"Chicago, Illinois",2001
ESS,Real Estate,"San Mateo, California",2014
EL,Consumer Staples,"New York City, New York",2006
ETSY,Consumer Discretionary,"New York City, New York",2020
EG,Financials,"Hamilton, Bermuda",2017
EVRG,Utilities,"Kansas City, Missouri",2018
ES,Utilities,"Hartford, Connecticut",2009
EXC,Utilities,"Chicago, Illinois",1957
EXPE,Consumer Discretionary,"Seattle, Washington",2007
EXPD,Industrials,"Seattle, Washington",2007
EXR,Real Estate,"Salt Lake City, Utah",2016
XOM,Energy,"Irving, Texas",1957
FFIV,Information Technology,"Seattle, Washington",2010
FDS,Financials,"Norwalk, Connecticut",2021
FICO,Information Technology,"Bozeman, Montana",2023
FAST,Industrials,"Winona, Minnesota",2008
FRT,Real Estate,"Rockville, Maryland",2016
FDX,Industrials,"Memphis, Tennessee",1980
FIS,Financials,"Jacksonville, Florida",2006
FITB,Financials,"Cincinnati, Ohio",1996
FSLR,Information Technology,"Tempe, Arizona",2022
FE,Utilities,"Akron, Ohio",1997
FI,Financials,"Brookfield, Wisconsin",2001
FMC,Materials,"Philadelphia, Pennsylvania",2009
F,Consumer Discretionary,"Dearborn, Michigan",1957
FTNT,Information Technology,"Sunnyvale, California",2018
FTV,Industrials,"Everett, Washington",2016
FOXA,Communication Services,"New York City, New York",2019
FOX,Communication Services,"New York City, New York",2019
BEN,Financials,"San Mateo, California",1998
FCX,Materials,"Phoenix, Arizona",2011
GRMN,Consumer Discretionary,"Schaffhausen, Switzerland",2012
IT,Information Technology,"Stamford, Connecticut",2017
GE,Industrials,"Evendale, Ohio",1957
GEHC,Health Care,"Chicago, Illinois",2023
GEV,Industrials,"Cambridge, Massachusetts",2024
GEN,Information Technology,"Tempe, Arizona",2003
GNRC,Industrials,"Waukesha, Wisconsin",2021
GD,Industrials,"Falls Church, Virginia",1957
GIS,Consumer Staples,"Golden Valley, Minnesota",1957
GM,Consumer Discretionary,"Detroit, Michigan",2013
GPC,Consumer Discretionary,"Atlanta, Georgia",1973
GILD,Health Care,"Foster City, California",2004
GPN,Financials,"Atlanta, Georgia",2016
GL,Financials,"McKinney, Texas",1989
GDDY,Information Technology,"Tempe, Arizona",2024
GS,Financials,"New York City, New York",2002
HAL,Energy,"Houston, Texas",1957
HIG,Financials,"Hartford, Connecticut",1957
HAS,Consumer Discretionary,"Pawtucket, Rhode Island",1984
HCA,Health Care,"Nashville, Tennessee",2015
DOC,Real Estate,"Denver, Colorado",2008
HSIC,Health Care,"Melville, New York",2015
HSY,Consumer Staples,"Hershey, Pennsylvania",1957
HES,Energy,"New York City, New York",1984
HPE,Information Technology,"Houston, Texas",2015
HLT,Consumer Discretionary,"Tysons Corner, Virginia",2017
HOLX,Health Care,"Marlborough, Massachusetts",2016
HD,Consumer Discretionary,"Atlanta, Georgia",1988
HON,Industrials,"Charlotte, North Carolina",1957
HRL,Consumer Staples,"Austin, Minnesota",2009
HST,Real Estate,"Bethesda, Maryland",2007
HWM,Industrials,"Pittsburgh, Pennsylvania",2016
HPQ,Information Technology,"Palo Alto, California",1974
HUBB,Industrials,"Shelton, Connecticut",2023
HUM,Health Care,"Louisville, Kentucky",2012
HBAN,Financials,"Columbus, Ohio; Detroit, Michigan",1997
HII,Industrials,"Newport News, Virginia",2018
IBM,Information Technology,"Armonk, New York",1957
IEX,Industrials,"Lake Forest, Illinois",2019
IDXX,Health Care,"Westbrook, Maine",2017
ITW,Industrials,"Glenview, Illinois",1986
INCY,Health Care,"Wilmington, Delaware",2017
IR,Industrials,"Davidson, North Carolina",2020
PODD,Health Care,"Acton, Massachusetts",2023
INTC,Information Technology,"Santa Clara, California",1976
ICE,Financials,"Atlanta, Georgia",2007
IFF,Materials,"New York City, New York",1976
IP,Materials,"Memphis, Tennessee",1957
IPG,Communication Services,"New York City, New York",1992
INTU,Information Technology,"Mountain View, California",2000
ISRG,Health Care,"Sunnyvale, California",2008
IVZ,Financials,"Atlanta, Georgia",2008
INVH,Real Estate,"Dallas, Texas",2022
IQV,Health Care,"Durham, North Carolina",2017
IRM,Real Estate,"Boston, Massachusetts",2009
JBHT,Industrials,"Lowell, Arkansas",2015
JBL,Information Technology,"St. Petersburg, Florida",2023
JKHY,Financials,"Monett, Missouri",2018
J,Industrials,"Dallas, Texas",2007
JNJ,Health Care,"New Brunswick, New Jersey",1973
JCI,Industrials,"Cork, Ireland",2010
JPM,Financials,"New York City, New York",1975
JNPR,Information Technology,"Sunnyvale, California",2006
K,Consumer Staples,"Chicago, Illinois",1989
KVUE,Consumer Staples,"Skillman, New Jersey",2023
KDP,Consumer Staples,"Burlington, Massachusetts",2022
KEY,Financials,"Cleveland, Ohio",1994
KEYS,Information Technology,"Santa Rosa, California",2018
KMB,Consumer Staples,"Irving, Texas",1957
KIM,Real Estate,"Jericho, New York",2006
KMI,Energy,"Houston, Texas",2012
KKR,Financials,"New York City, New York",2024
KLAC,Information Technology,"Milpitas, California",1997
KHC,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015
KR,Consumer Staples,"Cincinnati, Ohio",1957
LHX,Industrials,"Melbourne, Florida",2008
LH,Health Care,"Burlington, North Carolina",2004
LRCX,Information Technology,"Fremont, California",2012
LW,Consumer Staples,"Eagle, Idaho",2018
LVS,Consumer Discretionary,"Las Vegas, Nevada",2019
LDOS,Industrials,"Reston, Virginia",2019
LEN,Consumer Discretionary,"Miami, Florida",2005
LLY,Health Care,"Indianapolis, Indiana",1970
LIN,Materials,"Guildford, United Kingdom",1992
LYV,Communication Services,"Beverly Hills, California",2019
LKQ,Consumer Discretionary,"Chicago, Illinois",2016
LMT,Industrials,"Bethesda, Maryland",1957
L,Financials,"New York City, New York",1995
LOW,Consumer Discretionary,"Mooresville, North Carolina",1984
LULU,Consumer Discretionary,"Vancouver, Canada",2023
LYB,Materials,"Rotterdam, Netherlands",2012
MTB,Financials,"Buffalo, New York",2004
MRO,Energy,"Houston, Texas",1957
MPC,Energy,"Findlay, Ohio",2011
MKTX,Financials,"New York City, New York",2019
MAR,Consumer Discretionary,"Bethesda, Maryland",1998
MMC,Financials,"New York City, New York",1987
MLM,Materials,"Raleigh, North Carolina",2014
MAS,Industrials,"Livonia, Michigan",1981
MA,Financials,"Harrison, New York",2008
MTCH,Communication Services,"Dallas, Texas",2021
MKC,Consumer Staples,"Hunt Valley, Maryland",2003
MCD,Consumer Discretionary,"Chicago, Illinois",1970
MCK,Health Care,"Irving, Texas",1999
MDT,Health Care,"Dublin, Ireland",1986
MRK,Health Care,"Kenilworth, New Jersey",1957
META,Communication Services,"Menlo Park, California",2013
MET,Financials,"New York City, New York",2000
MTD,Health Care,"Columbus, Ohio",2016
MGM,Consumer Discretionary,"Paradise, Nevada",2017
